Fytoken,Symbol Details,Exchange Instrument type,Minimum lot size,Tick size,ISIN,Last update date,Expiry date,Symbol ticker,Exchange,Segment,Scrip code,Underlying scrip code,Strike price,Option type
101123071335016,NIFTY 23 Jul 13 15550 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315550CE,10,11,35016,NIFTY,15550.0,CE
101123071335017,NIFTY 23 Jul 13 15550 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315550PE,10,11,35017,NIFTY,15550.0,PE
101123071335018,NIFTY 23 Jul 13 15600 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315600CE,10,11,35018,NIFTY,15600.0,CE
101123071335019,NIFTY 23 Jul 13 15600 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315600PE,10,11,35019,NIFTY,15600.0,PE
101123071352396,NIFTY 23 Jul 13 15650 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315650PE,10,11,52396,NIFTY,15650.0,PE
101123071352395,NIFTY 23 Jul 13 15650 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315650CE,10,11,52395,NIFTY,15650.0,CE
101123071352397,NIFTY 23 Jul 13 15700 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315700CE,10,11,52397,NIFTY,15700.0,CE
101123071352398,NIFTY 23 Jul 13 15700 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315700PE,10,11,52398,NIFTY,15700.0,PE
101123071352402,NIFTY 23 Jul 13 15750 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315750PE,10,11,52402,NIFTY,15750.0,PE
101123071352401,NIFTY 23 Jul 13 15750 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315750CE,10,11,52401,NIFTY,15750.0,CE
101123071352404,NIFTY 23 Jul 13 15800 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315800PE,10,11,52404,NIFTY,15800.0,PE
101123071352403,NIFTY 23 Jul 13 15800 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315800CE,10,11,52403,NIFTY,15800.0,CE
101123071352405,NIFTY 23 Jul 13 15850 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315850CE,10,11,52405,NIFTY,15850.0,CE
101123071352406,NIFTY 23 Jul 13 15850 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315850PE,10,11,52406,NIFTY,15850.0,PE
101123071352411,NIFTY 23 Jul 13 15900 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315900CE,10,11,52411,NIFTY,15900.0,CE
101123071352412,NIFTY 23 Jul 13 15900 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315900PE,10,11,52412,NIFTY,15900.0,PE
101123071352414,NIFTY 23 Jul 13 15950 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315950PE,10,11,52414,NIFTY,15950.0,PE
101123071352413,NIFTY 23 Jul 13 15950 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371315950CE,10,11,52413,NIFTY,15950.0,CE
101123071352430,NIFTY 23 Jul 13 16000 CE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371316000CE,10,11,52430,NIFTY,16000.0,CE
101123071352431,NIFTY 23 Jul 13 16000 PE,14,50,0.05,0915-1530|1815-1915:,2023-07-06,2023-07-13,NSE:NIFTY2371316000PE,10,11,52431,NIFTY,16000.0,PE
